Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Laptop,Asus ROG Strix G15 G513RW-HQ214W,AMD Ryzen 9 6900HX,32GB,NVIDIA GeForce RTX 3070 Ti,1TB SSD,15.6 inches,9669,0.4795,,11
Laptop,Asus ROG Zephyrus G14 GA402RK-L8160W,AMD Ryzen 9 6900HS,32GB,AMD Radeon RX 6800S,1TB SSD,14 inches,9232,0.4775,,10
Laptop,Asus GA401QM-K2148R ,AMD Ryzen 9 5900HS,32GB,NVIDIA GeForce RTX 3060,1TB SSD,14 inches,9500,0.41775,,6
Laptop,Asus ROG Strix G15 G513QY-HQ007W,AMD Ryzen 9 5900HX,8GB,AMD Radeon RX 6800M,512GB SSD,15.6 inches,8500,0.41775,,12
Laptop,Lenovo Legion 7 16ARHA7 82UH0057IV,AMD Ryzen 9 6900HX,32GB,AMD Radeon RX 6850M,1TB SSD,16 inches,11098,0.4795,,9
Laptop,Asus ROG Strix G15 G513QY-HQ008,AMD Ryzen 9 5900HX,16GB,AMD Radeon Graphics,1TB SSD,15.6 inches,8062,0.41775,,13
Laptop,Asus ROG Zephyrus G14 GA401IV-HA199T,AMD Ryzen 9 4900HS,32GB,NVIDIA Geforce RTX 2060,512GB SSD,14 inches,8480,0.3105,,5
Laptop, Lenovo Legion Pro 7 16ARX8H 82WS0030IV,AMD Ryzen 9 7945HX,32GB,NVIDIA GeForce RTX 4080,2TB SSD,16 inches,14198,0.596,,8
Laptop,Asus ROG Zephyrus Duo 16 GX650RX-LO189W,AMD Ryzen 9 6900HX,32GB,NVIDIA GeForce RTX 3080 Ti,2TB SSD,16 inches,16171,0.4795,,7
Laptop,Lenovo Legion 9 16IRX9 83G0001CIV,Intel Core i9 13980HX,64GB,NVIDIA GeForce RTX 4090?,2TB SSD,16 inches,21639,0.8145,,11
